source,competition_id,competition_source_id,season_id,season_name,match_id,team_id,team_source_id,is_home,possessions,ppda,ppda_final_third,high_press_pct,press_regain_time_sec,press_triggers_per_match,build_up_pass_share,gk_short_build_rate,cb_split_width,pivot_involvement_pct,vertical_compactness,line_height_def,line_height_att,transition_speed_sec,width_utilization_pct,cross_rate,central_overload_rate,through_ball_rate,set_piece_xg_share,passing_network_centralization,passing_clustering_coeff,passing_asymmetry,match_outcome
statsbomb,1,43,1,2022,12,17,789,False,57,4.56140350877193,5.08,14.814814814814813,108.20338983050847,14,9.94475138121547,15.384615384615385,64.32499999999999,8.615384615384615,25.64582705445048,21.29365079365079,46.93947784810127,53.49122807017544,34.530386740331494,0.05263157894736842,1.8070175438596492,0.017543859649122806,0.688533211311129,0.4967948717948718,0.3975664246768996,0.08839779005524862,D
statsbomb,1,43,1,2022,12,11,794,True,57,3.017543859649123,2.7333333333333334,26.041666666666668,77.18348623853211,8,1.1029411764705883,72.72727272727273,71.42500000000001,12.032085561497325,21.153737310527045,28.46276595744681,49.616503267973854,39.19298245614035,33.455882352941174,0.3684210526315789,2.210526315789474,0.0,0.0,0.5666041275797373,0.39002294523045855,0.016544117647058824,D
statsbomb,1,43,1,2022,13,19,771,True,53,7.256410256410256,9.2,11.009174311926607,88.54444444444445,11,3.5185185185185186,47.368421052631575,79.375,10.986267166042447,20.48925608037515,27.978758169934636,48.468014250309785,54.36538461538461,35.74074074074074,0.33962264150943394,2.5849056603773586,0.03773584905660377,0.0,0.5357142857142857,0.3814930310733188,0.009259259259259259,W
statsbomb,1,43,1,2022,13,1,776,False,47,3.6363636363636362,2.5238095238095237,31.746031746031743,116.08823529411765,9,1.2345679012345678,66.66666666666666,68.3625,14.455569461827283,28.758716782593197,22.742063492063487,51.500780274656684,70.5,34.39153439153439,0.19148936170212766,3.723404255319149,0.0425531914893617,0.0,0.5385338345864662,0.4039470269144477,-0.037037037037037035,L
statsbomb,1,43,1,2022,14,20,3565,True,50,2.9245283018867925,2.870967741935484,16.8141592920354,90.22950819672131,9,6.236559139784946,36.84210526315789,71.43749999999999,10.819411296738265,17.22650940414098,28.45029239766082,45.6768018018018,76.12,32.68817204301075,0.18,2.4,0.0,0.021580070938584245,0.6712564543889845,0.39546299138442054,0.047311827956989246,L
statsbomb,1,43,1,2022,14,21,787,False,65,3.103448275862069,3.9545454545454546,15.873015873015872,86.15929203539822,14,9.003215434083602,33.33333333333333,68.65,6.085918854415275,26.94548428041398,25.897222222222226,52.842706502636204,56.3125,38.90675241157556,0.18461538461538463,1.0307692307692307,0.046153846153846156,0.45886746321099653,0.4943181818181818,0.3644379300192172,-0.022508038585209004,W
statsbomb,1,43,1,2022,15,23,1833,False,62,1.7567567567567568,1.1111111111111112,32.142857142857146,119.61538461538461,9,2.9166666666666665,41.66666666666667,66.77499999999999,7.541696881798404,12.304195804195793,39.5897435897436,51.89393939393939,34.66129032258065,33.75,0.25806451612903225,1.8709677419354838,0.0,0.3077119645217208,0.5818181818181818,0.39249901918459806,0.027083333333333334,L
statsbomb,1,43,1,2022,15,22,782,True,48,7.774193548387097,9.76923076923077,13.253012048192772,88.19791666666667,7,3.7453183520599254,27.77777777777778,75.6875,10.113864701942397,14.525782860979245,22.40238095238095,36.92816381336019,89.89583333333333,29.026217228464418,0.10416666666666667,3.375,0.20833333333333334,0.0,0.5628571428571428,0.4264286412420948,-0.033707865168539325,W
statsbomb,1,43,1,2022,16,6,773,False,49,9.054054054054054,9.473684210526315,14.285714285714285,114.91752577319588,6,1.949317738791423,60.0,75.8,12.112676056338028,24.29925418083901,16.83503401360544,41.13428819444445,117.40425531914893,30.994152046783626,0.10204081632653061,3.061224489795918,0.0,0.0,0.6045045045045045,0.419697583568687,-0.015594541910331383,L
statsbomb,1,43,1,2022,16,8,781,True,69,1.9878048780487805,1.619047619047619,38.46153846153847,69.87378640776699,6,1.340033500837521,62.5,74.94999999999999,14.878892733564014,17.752496821295274,35.95436507936508,53.70686190066036,48.984848484848484,30.82077051926298,0.2608695652173913,2.260869565217391,0.0,0.0,0.6520833333333333,0.4220386207575716,0.17420435510887772,W
