source,competition_id,competition_source_id,season_id,season_name,match_id,team_id,team_source_id,player_source_id,minutes_played,touches,progressive_carries,progressive_passes,progressive_actions_per90,pass_completion_pct,dribble_success_pct,touch_quality,pressure_actions_per90,sprints_per90,tackles_won_per90,interceptions_per90,ball_recoveries_per90,xg,xa,xg_xa_per90,shot_creation_actions,final_third_entries,aerial_duel_win_pct,pressure_regains
statsbomb,1,43,2,2018,70,8,781,3472,94.98333333333333,134,3,8,10.422881207229338,75.60975609756098,66.66666666666666,0.007462686567164179,28.426039656080015,8.527811896824003,0.0,0.9475346552026671,2.842603965608001,0.056895897,0.0,0.053910834146341464,23,6,0.0,2
statsbomb,1,43,2,2018,70,8,781,3501,91.98333333333333,225,11,19,29.353143685450263,88.1578947368421,100.0,0.008888888888888889,28.37470556260192,7.827504982786737,0.0,0.0,4.89219061424171,0.214253838,0.0,0.20963412306577278,27,10,0.0,6
statsbomb,1,43,2,2018,70,8,781,3535,17.966666666666665,33,0,1,5.009276437847867,100.0,0.0,0.06060606060606061,35.06493506493507,0.0,0.0,5.009276437847867,0.0,0.18350318999999998,0.0,0.9192182059369203,1,1,0.0,2
statsbomb,1,43,2,2018,70,8,781,4320,93.98333333333333,188,10,5,14.364248980315658,80.0,76.92307692307693,0.031914893617021274,19.15233197375421,11.491399184252526,0.0,0.0,2.8728497960631314,0.263670604,0.0,0.25249534697641424,31,6,0.0,3
statsbomb,1,43,2,2018,70,8,781,5539,59.95,96,2,10,18.015012510425354,91.66666666666666,100.0,0.0,24.02001668056714,3.0025020850708923,0.0,7.506255212677231,9.007506255212677,0.027605115,0.0,0.04144220767306088,11,5,0.0,5
statsbomb,1,43,2,2018,70,8,781,5542,66.98333333333333,91,2,4,8.061706892261757,88.88888888888889,0.0,0.03296703296703297,26.872356307539185,1.3436178153769593,0.0,1.3436178153769593,4.0308534461308785,0.5253904,0.0,0.7059239014680269,7,3,0.0,3
statsbomb,1,43,2,2018,70,8,781,5547,89.86666666666666,26,0,5,5.007418397626113,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.007418397626113,0.0,0.0,0.0,1,0,0.0,0
statsbomb,1,43,2,2018,70,8,781,5551,95.98333333333333,187,1,29,28.1298836603577,91.30434782608695,100.0,0.0053475935828877,6.5636395207501295,1.87532557735718,0.93766278867859,0.93766278867859,2.81298836603577,0.067018665,0.0,0.06284090831741622,5,3,0.0,1
statsbomb,1,43,2,2018,70,8,781,5552,93.98333333333333,249,15,24,37.34704734882071,78.16091954022988,100.0,0.004016064257028112,24.898031565880473,10.533782585564817,0.9576165986877105,4.788082993438553,5.745699592126263,0.0,0.0,0.0,35,13,0.0,3
statsbomb,1,43,2,2018,70,8,781,5553,28.833333333333332,52,2,3,15.606936416184972,88.23529411764706,0.0,0.019230769230769232,18.728323699421964,6.242774566473988,0.0,3.121387283236994,9.364161849710982,0.1243309,0.0,0.3880848901734104,6,1,0.0,1
